date,Revenue,Gross Profit,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Diluted EPS,EBITDA,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company
2011-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2011-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2011-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2011-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2012-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2012-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2012-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2012-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2013-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2013-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2013-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2013-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2014-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2014-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2014-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2014-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2015-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2015-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2015-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,CDEV
2015-12-31,0,0,0,0,0,0,0,0,0,0.023,0,0,0,CDEV
2016-03-31,23.75,-3.5689999999999995,-6.105,-7.746,-14.461,-10.09625,-10.09625,0,15.158,483.773339,18.552,-22.419,2.197,CDEV
2016-06-30,29.39,2.9050000000000016,0.056,-1.736,-16.133,-6.51105,-6.51105,0,21.278,483.771993,17.052,-63.036,46.57,CDEV
2016-09-30,29.273,3.9440000000000013,-1.775,-3.758,-5.134,-4.2396,-4.2396,-0.03999999910593033,16.679,483.247927,15.907,-15.52,-0.661,CDEV
