date,Revenue,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company,target_revenue,target_income
2011-12-31,61.863,-32.289,-33.64,-56.351,-41.588848,-41.588848,285.502016,38.239,-79.88,38.765,AMPY,48.41,2.342
2012-03-31,48.41,2.342,0.659,-17.507,-5.6991,-5.6991,267.995008,34.316,-72.466,40.0,AMPY,49.259,4.064
2012-06-30,49.259,4.064,3.217,-112.377,-147.036944,-147.036944,370.139024,25.647,-111.779,88.627,AMPY,55.498,3.674
2012-09-30,55.498,3.674,2.846,-17.803,3.15365,3.15365,353.065008,34.717,-100.63,58.898,AMPY,89.839,20.68
2012-12-31,89.839,20.68,11.284,-2.41,6.12645,6.12645,643.580992,42.569,-488.732992,460.368,AMPY,86.142,13.06
2013-03-31,86.142,13.06,2.198,-7.949,1.879,-2.238,637.124992,62.203,-132.538,102.082,AMPY,102.516,9.947
2013-06-30,102.516,9.947,-6.669,3.338,-4.462,-7.171,642.073984,10.637,-748.793984,699.817024,AMPY,146.874,24.692
2013-09-30,146.874,24.692,-1.251,-23.606,-0.802,-3.05905,654.715008,107.101,-177.936992,83.504,AMPY,160.672992,36.704
2013-12-31,160.672992,36.704,7.02,-315.768,-21.23415,-27.56815,339.999008,47.161,-134.576992,95.626,AMPY,152.524992,42.784
2014-03-31,152.524992,42.784,8.847,-83.645,-22.0497,-24.6697,257.770016,105.409,-122.78,-1.144,AMPY,162.319008,49.077
2014-06-30,162.319008,49.077,15.273,-2.098,9.2198,4.4138,257.582976,68.152,-5.248,-47.892,AMPY,166.518,56.431
2014-09-30,166.518,56.431,22.153,74.597,39.068,10.663,334.277024,135.02,-153.319008,14.356,AMPY,155.3,50.728
2014-12-31,155.3,50.728,15.238,128.075,50.512448,3.06345,465.861984,42.963,-122.917,65.794,AMPY,142.434,39.902
2015-03-31,142.434,39.902,3.408,-193.554,12.414,12.283,273.305984,113.017,-111.167,-1.466,AMPY,136.236,40.936
2015-06-30,136.236,40.936,-3.917,-598.436992,-3.917,-4.586,-322.796992,25.633,-38.827,152.29,AMPY,111.302,34.049
2015-09-30,111.302,34.049,-6.503,-494.342016,-6.503,-6.651,-816.010944,97.242,-81.414,-0.082,AMPY,101.882,30.266
2015-12-31,101.882,30.266,-10.868,-510.862016,-67.346,-67.346,-1326.066048,-22.509,-63.148,-0.033,AMPY,51.961,-4.764
2016-03-31,51.961,-4.764,-48.919,-179.274,-94.543248,-94.543248,-1504.510016,29.855,-58.654,249.132,AMPY,62.559,18.16
2016-06-30,62.559,18.16,-0.655,8.962,2.71095,2.61295,-1495.106944,21.706,-41.77,0.199,AMPY,64.193,22.731
2016-09-30,64.193,22.731,20.063,-38.384,-0.39345,-0.39345,-1533.090112,26.683,-28.648,0.0,AMPY,63.039,15.816
2016-12-31,63.039,15.816,14.432,1541.70496,14.432,-2.272,561.814032,7.397,-27.581,-182.574,AMPY,60.15,14.597
2017-03-31,60.15,14.597,13.62,18.485,15.32275,14.77675,584.088984,32.373,-24.758,0.0,AMPY,53.186,7.477
2017-06-30,53.186,7.477,6.249,13.742,8.87155,8.51155,598.671,30.804,-29.611,-0.997,AMPY,56.215,11.812
2017-09-30,56.215,11.812,10.163,3.663,7.888,7.806,605.597008,26.14,-34.237,-0.004,AMPY,53.344,8.763
2017-12-31,53.344,8.763,12.142,-120.967,9.40885,9.40885,485.587024,30.285,-37.358,-0.977,AMPY,52.844,9.751
2018-03-31,52.844,9.751,7.943,4.004,7.11581,7.01681,491.927992,22.147,-31.758,-50.459,AMPY,53.672,11.426
2018-06-30,53.672,11.426,10.129,-1.542,7.67809,7.67809,491.991016,27.145,20.702,-50.019,AMPY,85.522,-16.952
2018-09-30,85.522,-16.952,-22.29,-2.598,-18.15468,-18.15468,504.958984,67.318,-16.935,17.654,AMPY,75.702,17.31
2018-12-31,75.702,17.31,-25.322,40.953,-11.40425,-13.83025,416.558008,25.171,51.657,-38.986,AMPY,65.155,4.692
2019-03-31,65.155,4.692,0.79,-31.29,-5.9073,-5.9073,473.549,10.8,-10.5,-25.128,AMPY,59.532,4.076
2019-06-30,59.532,4.076,-0.346,18.641,3.64127,2.91327,437.560984,22.499,66.925,-95.598,AMPY,72.959,-0.696
2019-09-30,72.959,-0.696,-6.076,5.157,-3.71707,-3.84507,480.044984,0.57,66.005,-102.327,AMPY,77.929,8.399
2019-12-31,77.929,8.399,4.683,-27.145,-2.00088,-2.00088,434.207016,21.395,-11.596,-17.207,AMPY,58.136,1.122
2020-03-31,58.136,1.122,-6.323,-367.012992,-82.067904,-82.067904,62.096,13.089,-12.72,1.2,AMPY,35.171,-15.407
2011-03-31,3921.999872,1974.0,1928.999936,1134.0,1136.050048,1117.049984,25198.000384,1979.000064,-1748.999936,-8.0,APA,4386.999808,2227.000064
2011-06-30,4386.999808,2227.000064,2185.999872,1259.000064,1293.849984,1274.850048,26667.000064,2744.999936,-1628.0,-366.0,APA,4302.000128,2108.999936
2011-09-30,4302.000128,2108.999936,2072.0,1002.0,987.100032,968.099968,27903.000832,2447.000064,-2248.999936,-719.0,APA,4288.0,2035.000064
2011-12-31,4288.0,2035.000064,2000.0,1188.999936,1247.149952,1228.150016,28993.000704,2782.000128,-3019.000064,-54.0,APA,4496.0,2087.000064
2012-03-31,4496.0,2087.000064,2047.000064,797.0,1164.0,1144.999936,29714.999552,2007.000064,-2641.999872,585.0,APA,3892.999936,1440.999936
2012-06-30,3892.999936,1440.999936,1396.0,356.0,794.649984,775.649984,30673.000704,2792.0,-4944.0,2268.0,APA,4095.000064,1556.999936
2012-09-30,4095.000064,1556.999936,1516.999936,180.0,668.4,649.4,30714.00064,1623.000064,-2974.000128,1308.0,APA,4405.000192,1804.0
